order_date,orders,late_rate,return_rate,tickets,sla_breaches,expected_ticket_volume,backlog_risk_score,risk_level
2025-01-01,44,0.1590909090909091,0.045454545454545456,0.0,0.0,10.0,5.6,Low
2025-01-02,35,0.17142857142857143,0.05714285714285714,0.0,0.0,9.0,6.0,Low
2025-01-03,40,0.075,0.1,3.0,0.0,8.0,4.0,Low
2025-01-04,38,0.13157894736842105,0.07894736842105263,2.0,0.0,9.0,5.5,Low
2025-01-05,49,0.061224489795918366,0.10204081632653061,2.0,0.0,10.0,3.0,Low
2025-01-06,38,0.13157894736842105,0.0,3.0,0.0,8.0,6.0,Low
2025-01-07,38,0.13157894736842105,0.07894736842105263,3.0,0.0,9.0,6.0,Low
2025-01-08,42,0.14285714285714285,0.07142857142857142,3.0,0.0,10.0,6.4,Low
2025-01-09,45,0.08888888888888889,0.1111111111111111,5.0,0.0,10.0,5.4,Low
2025-01-10,51,0.19607843137254902,0.09803921568627451,4.0,0.0,14.0,8.7,Low
2025-01-11,49,0.1836734693877551,0.061224489795918366,7.0,0.0,13.0,9.6,Low
2025-01-12,47,0.1276595744680851,0.06382978723404255,1.0,0.0,11.0,4.9,Low
2025-01-13,42,0.047619047619047616,0.0,7.0,2.0,7.0,8.4,Low
2025-01-14,36,0.05555555555555555,0.027777777777777776,11.0,2.0,6.0,10.5,Low
2025-01-15,39,0.1794871794871795,0.05128205128205128,6.0,1.0,10.0,10.8,Low
2025-01-16,27,0.18518518518518517,0.07407407407407407,6.0,0.0,7.0,9.2,Low
2025-01-17,34,0.058823529411764705,0.058823529411764705,5.0,0.0,6.0,4.3,Low
2025-01-18,46,0.043478260869565216,0.021739130434782608,8.0,1.0,7.0,6.9,Low
2025-01-19,54,0.09259259259259259,0.14814814814814814,9.0,0.0,13.0,7.3,Low
2025-01-20,35,0.11428571428571428,0.14285714285714285,6.0,1.0,9.0,8.5,Low
2025-01-21,36,0.08333333333333333,0.027777777777777776,12.0,0.0,7.0,8.3,Low
2025-01-22,44,0.20454545454545456,0.045454545454545456,2.0,1.0,11.0,9.9,Low
2025-01-23,38,0.05263157894736842,0.0,8.0,0.0,6.0,5.4,Low
2025-01-24,53,0.16981132075471697,0.03773584905660377,4.0,0.0,13.0,7.7,Low
2025-01-25,46,0.043478260869565216,0.06521739130434782,5.0,0.0,8.0,3.8,Low
2025-01-26,51,0.1568627450980392,0.09803921568627451,9.0,1.0,13.0,11.3,Low
2025-01-27,37,0.13513513513513514,0.05405405405405406,8.0,1.0,8.0,10.1,Low
2025-01-28,42,0.14285714285714285,0.07142857142857142,4.0,0.0,10.0,6.8,Low
2025-01-29,42,0.11904761904761904,0.047619047619047616,8.0,0.0,9.0,7.8,Low
2025-01-30,35,0.11428571428571428,0.02857142857142857,5.0,0.0,7.0,6.2,Low
2025-01-31,53,0.09433962264150944,0.07547169811320754,7.0,0.0,11.0,6.5,Low
2025-02-01,57,0.12280701754385964,0.03508771929824561,10.0,2.0,12.0,12.4,Low
2025-02-02,52,0.11538461538461539,0.038461538461538464,9.0,2.0,11.0,11.7,Low
2025-02-03,40,0.2,0.075,6.0,0.0,11.0,9.7,Low
2025-02-04,42,0.11904761904761904,0.07142857142857142,9.0,0.0,9.0,8.2,Low
2025-02-05,44,0.22727272727272727,0.022727272727272728,7.0,1.0,12.0,12.9,Low
2025-02-06,30,0.06666666666666667,0.1,7.0,1.0,6.0,7.3,Low
2025-02-07,52,0.09615384615384616,0.09615384615384616,5.0,1.0,12.0,7.4,Low
2025-02-08,43,0.13953488372093023,0.11627906976744186,5.0,0.0,11.0,7.1,Low
2025-02-09,60,0.08333333333333333,0.13333333333333333,6.0,0.0,14.0,5.6,Low
2025-02-10,48,0.10416666666666667,0.10416666666666667,13.0,0.0,11.0,9.5,Low
2025-02-11,34,0.11764705882352941,0.029411764705882353,12.0,1.0,7.0,11.3,Low
2025-02-12,32,0.0625,0.125,3.0,0.0,7.0,3.5,Low
2025-02-13,43,0.13953488372093023,0.11627906976744186,12.0,1.0,11.0,12.1,Low
2025-02-14,49,0.08163265306122448,0.0,7.0,0.0,9.0,6.0,Low
2025-02-15,47,0.10638297872340426,0.02127659574468085,13.0,0.0,9.0,9.6,Low
2025-02-16,37,0.16216216216216217,0.05405405405405406,4.0,1.0,9.0,9.3,Low
2025-02-17,36,0.16666666666666666,0.0,7.0,0.0,8.0,9.0,Low
2025-02-18,43,0.11627906976744186,0.0,9.0,1.0,8.0,9.9,Low
2025-02-19,47,0.14893617021276595,0.0425531914893617,6.0,0.0,11.0,7.9,Low
2025-02-20,35,0.08571428571428572,0.0,5.0,0.0,6.0,5.2,Low
